RelPath,Name,SizeKB,Kind,Machine,CorFlags,TargetFramework,AssemblyName,AssemblyVersion,TypeCount,MethodCount,PInvokeCount,HasCppDetails,Note
Microsoft.Maui.Graphics.Skia.dll,Microsoft.Maui.Graphics.Skia.dll,47,pure-IL,I386,ILOnly,".NETCoreApp,Version=v10.0",Microsoft.Maui.Graphics.Skia,10.0.0.0,18,169,0,False,
mk\crop-list.resources.dll,crop-list.resources.dll,19,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
Newtonsoft.Json.dll,Newtonsoft.Json.dll,679,pure-IL,I386,ILOnly, StrongNameSigned,".NETStandard,Version=v2.0",Newtonsoft.Json,13.0.0.0,493,4158,0,False,
nl\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
no\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
pl\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
protobuf-net.dll,protobuf-net.dll,291,pure-IL,I386,ILOnly, StrongNameSigned,".NETCoreApp,Version=v3.1",protobuf-net,2.4.0.0,151,1542,0,False,
pt\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
ro\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
ru\crop-list.resources.dll,crop-list.resources.dll,20,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
runtimes\unix\lib\netstandard2.0\System.Private.ServiceModel.dll,System.Private.ServiceModel.dll,1845,pure-IL,I386,ILOnly, StrongNameSigned,,System.Private.ServiceModel,4.5.0.3,1437,11102,0,False,
runtimes\win-arm64\native\libSkiaSharp.dll,libSkiaSharp.dll,10263,native,Arm64,,,,,0,0,0,false,
runtimes\win-x64\native\libSkiaSharp.dll,libSkiaSharp.dll,11966,native,Amd64,,,,,0,0,0,false,
runtimes\win-x86\native\libSkiaSharp.dll,libSkiaSharp.dll,10447,native,I386,,,,,0,0,0,false,
runtimes\win\lib\netstandard2.0\System.Private.ServiceModel.dll,System.Private.ServiceModel.dll,1845,pure-IL,I386,ILOnly, StrongNameSigned,,System.Private.ServiceModel,4.5.0.3,1437,11102,0,False,
sk\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
SkiaSharp.dll,SkiaSharp.dll,513,pure-IL,I386,ILOnly, StrongNameSigned,".NETCoreApp,Version=v10.0",SkiaSharp,4.150.0.0,314,4919,902,False,
sl\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
sr\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
sv\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
System.Security.Cryptography.ProtectedData.dll,System.Security.Cryptography.ProtectedData.dll,38,pure-IL,I386,ILOnly, StrongNameSigned,".NETCoreApp,Version=v10.0",System.Security.Cryptography.ProtectedData,10.0.0.0,18,44,3,False,
System.ServiceModel.dll,System.ServiceModel.dll,30,pure-IL,I386,ILOnly, StrongNameSigned,,System.ServiceModel,4.0.0.0,1,0,0,False,
System.ServiceModel.Primitives.dll,System.ServiceModel.Primitives.dll,29,pure-IL,I386,ILOnly, StrongNameSigned,,System.ServiceModel.Primitives,4.5.0.3,2,1,0,False,
th\crop-list.resources.dll,crop-list.resources.dll,23,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
tr\crop-list.resources.dll,crop-list.resources.dll,17,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
uk\crop-list.resources.dll,crop-list.resources.dll,20,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
vi\crop-list.resources.dll,crop-list.resources.dll,18,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
zh\crop-list.resources.dll,crop-list.resources.dll,16,pure-IL,I386,ILOnly,,crop-list.resources,1.0.0.0,1,0,0,False,
